iter	RMSE
0	26232.05478
1	24432.39442
2	23023.04977
3	21998.57198
4	20828.35827
5	20012.99479
6	19244.66423
7	18288.54193
8	17792.60045
9	17307.47517
10	16327.24291
11	15875.81289
12	15558.76636
13	15263.36593
14	14573.93183
15	14310.36439
16	13782.23071
17	13270.61579
18	12515.42826
19	12069.00364
20	11937.22377
21	11776.45342
22	11581.65803
23	11218.77174
24	10918.51797
25	10309.82236
26	10240.20077
27	9691.475532
28	9208.759277
29	8820.675671
30	8569.464729
31	8138.755582
32	8097.779104
33	7781.909774
34	7414.798591
35	7077.742681
36	6774.084666
37	6499.546106
38	6251.807599
39	6028.712811
40	5954.818631
41	5752.831246
42	5571.645335
43	5388.987194
44	5329.193986
45	5180.697158
46	5110.980408
47	5103.66387
48	4970.197059
49	4851.407128
50	4614.770453
51	4524.722236
52	4405.289807
53	4373.850146
54	4356.755649
55	4223.724978
56	4156.369124
57	4155.526996
58	4124.206097
59	4087.442002
60	4038.333547
61	3980.835405
62	3925.642748
63	3879.797537
64	3831.586512
65	3792.770406
66	3705.46819
67	3673.410476
68	3667.98383
69	3654.412797
70	3610.396535
71	3603.249009
72	3600.983045
73	3563.291261
74	3562.959904
75	3562.678061
76	3561.262715
77	3539.117801
78	3538.032136
79	3506.754726
80	3495.277752
81	3443.518675
82	3419.322419
83	3414.321833
84	3410.472427
85	3405.985048
86	3402.170129
87	3398.909635
88	3396.712684
89	3396.417716
90	3394.191953
91	3388.421946
92	3385.351811
93	3382.878819
94	3366.414807
95	3340.734367
96	3288.118057
97	3287.857767
98	3241.704835
99	3234.367808
