iter	Passed	Remaining
0	83	15742
1	143	13511
2	231	14429
3	296	13808
4	381	14122
5	462	14169
6	542	14181
7	603	13725
8	659	13262
9	731	13172
10	817	13298
11	876	12999
12	940	12810
13	977	12294
14	1037	12099
15	1106	12038
16	1160	11807
17	1197	11440
18	1284	11556
19	1321	11231
20	1378	11091
21	1451	11083
22	1508	10955
23	1583	10953
24	1634	10789
25	1698	10711
26	1766	10664
27	1852	10717
28	1917	10646
29	1986	10592
30	2045	10491
31	2101	10378
32	2159	10275
33	2215	10167
34	2293	10157
35	2351	10060
36	2416	9991
37	2477	9911
38	2533	9810
39	2591	9718
40	2654	9645
41	2699	9513
42	2758	9431
43	2817	9349
44	2883	9292
45	2942	9210
46	2997	9119
47	3065	9068
48	3210	9237
49	3373	9445
50	3441	9380
51	3525	9356
52	3588	9274
53	3648	9188
54	3711	9110
55	3780	9045
56	3858	9004
57	3928	8941
58	3989	8857
59	4072	8823
60	4144	8763
61	4209	8689
62	4273	8613
63	4330	8526
64	4402	8466
65	4465	8388
66	4523	8305
67	4624	8296
68	4682	8212
69	4753	8149
70	4827	8091
71	4887	8010
72	4957	7945
73	5019	7868
74	5080	7790
75	5154	7732
76	5260	7720
77	5321	7640
78	5382	7562
79	5442	7484
80	5505	7409
81	5575	7343
82	5638	7269
83	5710	7205
84	5773	7132
85	5836	7058
86	5898	6983
87	5960	6908
88	6021	6833
89	6084	6760
90	6147	6687
91	6210	6615
92	6279	6549
93	6354	6489
94	6430	6430
95	6512	6377
96	6574	6303
97	6640	6233
98	6722	6178
99	6788	6109
100	6854	6040
101	6916	5966
102	6986	5901
103	7068	5845
104	7128	5770
105	7198	5704
106	7271	5640
107	7350	5581
108	7417	5511
109	7475	5436
110	7541	5367
111	7609	5299
112	7683	5235
113	7749	5166
114	7822	5101
115	7953	5073
116	8020	5004
117	8129	4960
118	8211	4899
119	8307	4845
120	8384	4781
121	8469	4720
122	8553	4659
123	8658	4608
124	8719	4534
125	8796	4468
126	8908	4419
127	8977	4348
128	9065	4286
129	9156	4226
130	9227	4155
131	9347	4107
132	9418	4036
133	9769	4082
134	9876	4023
135	9948	3950
136	10038	3883
137	10098	3805
138	10158	3727
139	10228	3653
140	10299	3579
141	10363	3503
142	10434	3429
143	10507	3356
144	10575	3282
145	10657	3211
146	10736	3140
147	10803	3065
148	10869	2990
149	10934	2915
150	11002	2841
151	11094	2773
152	11160	2698
153	11233	2626
154	11305	2552
155	11385	2481
156	11447	2406
157	11525	2334
158	11616	2264
159	11724	2198
160	11824	2129
161	11901	2057
162	11967	1982
163	12060	1912
164	12143	1839
165	12214	1766
166	12293	1693
167	12372	1620
168	12436	1545
169	12496	1470
170	12560	1395
171	12621	1320
172	12683	1246
173	12833	1180
174	12941	1109
175	13018	1035
176	13082	960
177	13146	886
178	13213	811
179	13290	738
180	13396	666
181	13501	593
182	13640	521
183	13769	448
184	13829	373
185	13892	298
186	13963	224
187	14030	149
188	14133	74
189	14197	0
