iter	R2	RMSE
0	0.03558022777	25374.54879
1	0.06537986963	24979.44823
2	0.07204867281	24890.17065
3	0.08015536033	24781.21048
4	0.1032444179	24468.2168
5	0.1137809232	24324.04638
6	0.1174840169	24273.17379
7	0.120491754	24231.77531
8	0.1306653852	24091.21823
9	0.1311503535	24084.49752
10	0.1314174989	24080.7946
11	0.132455016	24066.40811
12	0.1357359847	24020.85662
13	0.1384398536	23983.2523
14	0.138735577	23979.13592
15	0.1390428082	23974.85861
16	0.1428058418	23922.40711
17	0.1513585061	23802.76488
18	0.1529967277	23779.7793
19	0.153251353	23776.2047
20	0.15417094	23763.29047
21	0.1593624359	23690.25153
22	0.1635643748	23630.96933
23	0.1704407675	23533.63298
24	0.173147991	23495.2012
25	0.1881264003	23281.42105
26	0.1992063146	23122.01058
27	0.2061981165	23020.8491
28	0.2080443592	22994.0623
29	0.2087733798	22983.47648
30	0.2134024047	22916.14612
31	0.2135707132	22913.6943
32	0.2147303814	22896.79381
33	0.2158420433	22880.58122
34	0.2177267935	22853.06755
35	0.2234267957	22769.65635
36	0.2318482229	22645.85881
37	0.2362632668	22580.68514
38	0.236439276	22578.08304
39	0.2380136593	22554.7942
40	0.2428160665	22483.60623
41	0.2437586522	22469.60744
42	0.253496377	22324.47402
43	0.2542936148	22312.54999
44	0.2565078608	22279.39873
45	0.2579795997	22257.33683
46	0.2592829022	22237.78158
47	0.2611650091	22209.51134
48	0.2616365721	22202.42257
49	0.2628699249	22183.8715
50	0.2633446341	22176.72718
51	0.2660984608	22135.23692
52	0.2674693584	22114.55341
53	0.2676473974	22111.86581
54	0.2682944567	22102.09535
55	0.2688533532	22093.65265
56	0.2711514968	22058.90288
57	0.3055141194	21532.62544
58	0.3072776845	21505.26827
59	0.3381063641	21021.29071
60	0.3386658935	21012.40369
61	0.339160303	21004.54785
62	0.3404480404	20984.07274
63	0.3406062856	20981.55525
64	0.3450646975	20910.5028
65	0.3451632723	20908.92912
66	0.3719658839	20476.55507
67	0.3724965801	20467.90177
68	0.3960828145	20079.54972
69	0.3964256259	20073.84987
70	0.396497371	20072.65678
71	0.397475776	20056.37918
72	0.3979379611	20048.68526
73	0.4108079609	19833.24198
74	0.4112220241	19826.27171
75	0.428053591	19540.8272
76	0.4322040219	19469.79736
77	0.4325543715	19463.78967
78	0.432875444	19458.28238
79	0.4329878301	19456.35428
80	0.4335439306	19446.81097
81	0.4340309659	19438.44905
82	0.4340670254	19437.8298
83	0.4345246289	19429.96967
84	0.4407035227	19323.5234
85	0.4431313153	19281.53804
86	0.4455550283	19239.53184
87	0.4467298729	19219.13717
88	0.4581951263	19018.95843
89	0.4602339496	18983.14033
90	0.4610003103	18969.6594
91	0.461346454	18963.56729
92	0.4678968521	18847.90958
