iter	R2	RMSE
0	0.03357858158	25400.86748
1	0.05245122371	25151.6258
2	0.05769446253	25081.9413
3	0.06605416817	24970.43566
4	0.07014001417	24915.7552
5	0.07650141403	24830.38154
6	0.09498848537	24580.59142
7	0.103391877	24466.20499
8	0.1073475112	24412.17562
9	0.1075756712	24409.05557
10	0.1094019977	24384.06649
11	0.1136080661	24326.41846
12	0.1191457186	24250.31087
13	0.1209114321	24225.99324
14	0.1266956545	24146.16067
15	0.1269887319	24142.10865
16	0.1290032539	24114.23794
17	0.1302809762	24096.54407
18	0.1329180589	24059.98466
19	0.1332800691	24054.96157
20	0.13470827	24035.13424
21	0.1364978289	24010.26716
22	0.1407303407	23951.35094
23	0.1410290569	23947.18736
24	0.1411768204	23945.12752
25	0.1413548271	23942.64586
26	0.1415498613	23939.92652
27	0.1426438542	23924.66736
28	0.1430961902	23918.35527
29	0.143265211	23915.99626
30	0.1514947013	23800.8548
31	0.1520608847	23792.91266
32	0.1607013225	23671.37824
33	0.1618043433	23655.81846
34	0.1668321803	23584.76315
35	0.1799401831	23398.50131
36	0.1862739224	23307.96689
37	0.1870255576	23297.19967
38	0.1889070246	23270.2257
39	0.1915070371	23232.89864
40	0.1919727043	23226.20695
41	0.2034875113	23060.12039
42	0.2074465315	23002.73949
43	0.2075903697	23000.65205
44	0.2170069702	22863.57947
45	0.2180452586	22848.41531
46	0.2182389175	22845.58581
47	0.2257184347	22736.03532
48	0.2353026646	22594.88129
49	0.2410165135	22510.30808
50	0.2411741982	22507.96962
51	0.2499429764	22377.54384
52	0.2513315574	22356.82046
53	0.2514091423	22355.66201
54	0.2623584807	22191.5661
55	0.2624121547	22190.75871
56	0.263439588	22175.29786
57	0.2713130961	22056.45731
58	0.2713701873	22055.59325
59	0.271432009	22054.65756
60	0.2715080393	22053.50677
61	0.2716015875	22052.09074
62	0.2724574404	22039.13156
63	0.2730526323	22030.11477
64	0.2772233192	21966.8276
65	0.2807146734	21913.70828
66	0.2856866915	21837.83832
67	0.2857590889	21836.73163
68	0.2858679172	21835.06795
69	0.2862541936	21829.16182
70	0.2891422811	21784.9525
71	0.2892609213	21783.1345
72	0.2910246324	21756.0901
73	0.3002001948	21614.84792
74	0.300417667	21611.4891
75	0.3233234863	21254.74148
76	0.323370488	21254.0033
77	0.3233960988	21253.60105
78	0.3252612813	21224.28612
79	0.3310145862	21133.60568
80	0.3505043498	20823.48426
81	0.3539101715	20768.81546
82	0.3705061155	20500.33855
83	0.3726788866	20464.92832
84	0.3868182382	20232.98176
85	0.386868227	20232.15701
86	0.4108382232	19832.73263
87	0.4109081568	19831.55552
88	0.4109555756	19830.75734
89	0.4124719982	19805.21496
90	0.4164416292	19738.19463
91	0.427302166	19553.65939
92	0.4347426998	19426.2228
93	0.4347950582	19425.32308
94	0.4349388279	19422.85234
95	0.4547593857	19079.16548
96	0.4600279239	18986.76286
97	0.4600622585	18986.15921
98	0.4707467658	18797.36766
99	0.4707958046	18796.49679
100	0.470818044	18796.10183
101	0.4753473163	18715.49098
102	0.4753715057	18715.05953
103	0.4753881803	18714.76211
104	0.4760039295	18703.77591
105	0.477253982	18681.45259
106	0.4775422098	18676.30166
107	0.4809283632	18615.68086
108	0.4809596356	18615.12008
109	0.4809733632	18614.87391
110	0.4809886653	18614.59951
111	0.4821592369	18593.59609
112	0.4879662691	18489.04849
113	0.4888430529	18473.21179
114	0.4888529019	18473.03382
115	0.5049166281	18180.44234
116	0.5049430003	18179.95811
117	0.507538181	18132.24414
118	0.5075617768	18131.80974
119	0.5077321019	18128.67375
120	0.5093911532	18098.09915
121	0.5094794349	18096.47076
122	0.5094953703	18096.17681
123	0.5228492023	17848.1457
124	0.5281396931	17748.92272
125	0.5287041899	17738.30283
126	0.537099921	17579.59652
127	0.5446734044	17435.19402
128	0.5508529475	17316.47748
129	0.5512130471	17309.53443
130	0.5516076931	17301.92208
131	0.5544414908	17247.16216
132	0.5547351212	17241.47814
133	0.5574037708	17189.73297
134	0.5649441737	17042.67531
135	0.5651990793	17037.6818
136	0.5667489347	17007.28914
137	0.5669574024	17003.19694
138	0.5674804891	16992.92447
139	0.5681715125	16979.3445
140	0.5696321675	16950.60396
141	0.5697656919	16947.97424
142	0.5701407022	16940.58634
143	0.5701477338	16940.44779
144	0.5703190315	16937.07204
145	0.5703736173	16935.99618
146	0.5704052035	16935.3736
147	0.570482045	16933.85892
148	0.5705109699	16933.28872
149	0.5705583369	16932.35493
150	0.5711720215	16920.2522
151	0.5731549066	16881.08755
152	0.5731721402	16880.74677
153	0.5731931065	16880.33216
154	0.5758770828	16827.17245
155	0.5758922922	16826.87073
156	0.5760182405	16824.37198
157	0.5763924686	16816.94532
158	0.5764691761	16815.42263
159	0.5815406676	16714.44284
160	0.5821884254	16701.5012
161	0.5822154985	16700.96008
162	0.5829734807	16685.80301
163	0.5833281831	16678.70544
164	0.5843796919	16657.64704
165	0.5846573192	16652.0826
166	0.588296422	16578.97193
167	0.5883420142	16578.05392
168	0.588362049	16577.6505
169	0.592571058	16492.67928
170	0.6046832755	16245.67907
171	0.6050305615	16238.54158
172	0.6058945982	16220.77011
173	0.606822126	16201.67106
174	0.6068337396	16201.43178
175	0.6068481499	16201.13487
176	0.6075848931	16185.94777
177	0.6075970498	16185.69705
178	0.611384561	16107.39469
179	0.6121012956	16092.53417
180	0.612451271	16085.27292
181	0.6130900126	16072.01192
182	0.6132013445	16069.69942
183	0.6134353649	16064.83745
184	0.6134463046	16064.61013
185	0.613580502	16061.82137
186	0.6135889573	16061.64564
187	0.6173665807	15982.94205
188	0.6179083696	15971.62254
189	0.6179172446	15971.43705
