iter	Passed	Remaining
0	131	24914
1	303	28553
2	502	31322
3	573	26657
4	639	23665
5	709	21768
6	815	21330
7	948	21585
8	1022	20558
9	1097	19749
10	1199	19522
11	1286	19081
12	1485	20220
13	1590	19990
14	1902	22196
15	2035	22134
16	2109	21464
17	2180	20833
18	2248	20232
19	2318	19706
20	2416	19451
21	3030	23145
22	3186	23133
23	3714	25694
24	3821	25219
25	3915	24695
26	4009	24203
27	4093	23683
28	4241	23547
29	4302	22946
30	4368	22406
31	4434	21893
32	4494	21384
33	4563	20939
34	4685	20750
35	4766	20387
36	4824	19951
37	4941	19767
38	5007	19389
39	5082	19059
40	5159	18748
41	5222	18404
42	5286	18070
43	5348	17746
44	5425	17482
45	5480	17156
46	5538	16850
47	5599	16565
48	5665	16301
49	5777	16176
50	5811	15840
51	5875	15591
52	5934	15340
53	5993	15095
54	6067	14891
55	6110	14620
56	6179	14418
57	6255	14236
58	6304	13997
59	6382	13828
60	6482	13708
61	6608	13642
62	6668	13443
63	6746	13282
64	6825	13126
65	6909	12980
66	6967	12790
67	7025	12605
68	7165	12564
69	7241	12414
70	7320	12269
71	7579	12422
72	7641	12247
73	7702	12074
74	7837	12017
75	7899	11849
76	8075	11850
77	8162	11720
78	8262	11609
79	8504	11693
80	8616	11594
81	8737	11508
82	9987	12875
83	10137	12792
84	10260	12674
85	10883	13160
86	11184	13241
87	11396	13209
88	11602	13166
89	11696	12996
90	11810	12848
91	11900	12676
92	11965	12479
93	12034	12290
94	12102	12102
95	12177	11923
96	12302	11795
97	12402	11643
98	12466	11459
99	12528	11275
100	12608	11110
101	12723	10976
102	12802	10814
103	12907	10673
104	12967	10497
105	13035	10329
106	13093	10156
107	13157	9989
108	13216	9821
109	13297	9670
110	13384	9525
111	13443	9362
112	13555	9236
113	13623	9082
114	13697	8933
115	13764	8780
116	13853	8643
117	13939	8505
118	14072	8396
119	14134	8245
120	14198	8096
121	14264	7950
122	14324	7802
123	14387	7657
124	14504	7542
125	14639	7436
126	14735	7309
127	14799	7168
128	14884	7038
129	14951	6900
130	15035	6771
131	15122	6644
132	15236	6529
133	15328	6405
134	15404	6275
135	15552	6175
136	15652	6055
137	15743	5932
138	15869	5822
139	15959	5699
140	16046	5576
141	16108	5445
142	16169	5314
143	16231	5185
144	16323	5066
145	16387	4938
146	16448	4811
147	16518	4687
148	16586	4564
149	16650	4440
150	16714	4317
151	16778	4194
152	16839	4072
153	16898	3950
154	17065	3853
155	17163	3740
156	17231	3621
157	17290	3501
158	17352	3383
159	17411	3264
160	17487	3149
161	17550	3033
162	17621	2918
163	17684	2803
164	17763	2691
165	17826	2577
166	17908	2466
167	18021	2359
168	18125	2252
169	18186	2139
170	18249	2027
171	18312	1916
172	18370	1805
173	18449	1696
174	18831	1614
175	18904	1503
176	18965	1392
177	19027	1282
178	19105	1174
179	19226	1068
180	19336	961
181	19637	863
182	19720	754
183	19781	645
184	19844	536
185	19908	428
186	19981	320
187	20046	213
188	20108	106
189	20168	0
