iter	Passed	Remaining
0	46	4596
1	97	4784
2	163	5297
3	216	5184
4	275	5236
5	332	5206
6	412	5479
7	493	5679
8	552	5585
9	722	6505
10	871	7051
11	923	6768
12	985	6594
13	1103	6777
14	1330	7536
15	1390	7302
16	1452	7089
17	1515	6905
18	1578	6729
19	1630	6523
20	1688	6351
21	1761	6244
22	1863	6238
23	1929	6108
24	1993	5980
25	2080	5921
26	2354	6364
27	2410	6198
28	2465	6036
29	2518	5875
30	2589	5762
31	2735	5812
32	2858	5803
33	2920	5669
34	2974	5524
35	3283	5837
36	3363	5727
37	3426	5589
38	3488	5456
39	3554	5332
40	3621	5212
41	3674	5074
42	3741	4959
43	3806	4844
44	3968	4850
45	4045	4749
46	4107	4631
47	4260	4615
48	4401	4580
49	4466	4466
50	4572	4392
51	4645	4288
52	4710	4177
53	4837	4121
54	4892	4003
55	4955	3893
56	5036	3799
57	5126	3712
58	5190	3607
59	5258	3505
60	5338	3412
61	5434	3330
62	5498	3229
63	5551	3122
64	5626	3029
65	5751	2962
66	5804	2859
67	5892	2772
68	5976	2685
69	6041	2589
70	6108	2494
71	6200	2411
72	6299	2330
73	6353	2232
74	6420	2140
75	6567	2073
76	6728	2009
77	6832	1927
78	6886	1830
79	6945	1736
80	7027	1648
81	7157	1571
82	7225	1480
83	7281	1386
84	7337	1294
85	7462	1214
86	7516	1123
87	7571	1032
88	7624	942
89	7747	860
90	7826	774
91	7885	685
92	7973	600
93	8072	515
94	8130	427
95	8198	341
96	8362	258
97	8445	172
98	8548	86
99	8681	0
