listing_id,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30
3884,1449.0,0.0,f,0.0,488.051470834979,only profile,0.01,f,141.0,f,0
23163,3340.0,0.0,t,4.92,3.855206085764145,Both,0.18,t,9.0,t,7
23169,2579.0,0.0,t,4.72,3.855206085764145,Both,0.68,t,9.0,t,1
26755,2701.0,0.0,t,4.94,3.855206085764145,Both,3.2,f,7.0,t,3
30762,5919.0,0.0,t,4.73,3.855206085764145,Both,0.1,t,9.0,t,1
42514,3684.0,2.0,t,4.76,523.4491616533368,Both,2.09,f,12.0,t,27
52148,1056.0,0.0,f,4.57,1.6796561374309336,Both,1.21,t,7.0,t,5
55844,2259.0,0.0,f,4.51,1.6796561374309336,Both,2.62,t,7.0,t,4
55856,2652.0,0.0,f,4.56,1.6796561374309336,Both,2.07,t,7.0,t,3
70003,1621.0,0.0,f,4.42,3.1742847596468065,Both,1.38,t,7.0,t,2
75298,1965.0,0.0,t,4.74,3.855206085764145,Both,0.42,f,8.0,t,16
79373,2579.0,0.0,t,4.68,3.855206085764145,Both,0.32,t,11.0,t,0
79381,2579.0,0.0,t,4.93,3.855206085764145,Both,0.1,t,12.0,t,10
79387,2579.0,0.0,t,4.81,3.855206085764145,Both,0.18,t,9.0,t,0
83067,2333.0,0.0,t,4.55,3.855206085764145,only profile,1.33,f,7.0,t,6
83855,3168.0,0.0,t,4.56,3.855206085764145,only profile,1.63,f,8.0,t,5
83856,3168.0,0.0,t,4.63,3.855206085764145,only profile,2.4,f,8.0,t,4
85790,16887.0,0.0,f,4.59,3.855206085764145,Both,0.8,t,8.0,t,2
85884,667.0,0.0,t,4.86,4.779680037529501,Both,0.42,t,16.0,t,7
98852,2210.0,0.0,t,4.74,1514.4786053718487,Both,3.87,t,7.0,t,4
106207,1891.0,0.0,f,4.59,3.1742847596468065,Both,1.86,t,7.0,t,3
109549,3981.0,0.0,f,4.79,3.855206085764145,Both,1.15,t,8.0,t,6
111141,2407.0,0.0,f,4.48,3.1742847596468065,Both,1.53,t,8.0,t,7
112281,22643.0,0.0,f,4.59,3.855206085764145,Both,1.72,t,7.0,t,1
117451,1900.0,0.0,t,4.7,5.973202765973969,Both,2.14,t,7.0,t,12
146690,2112.0,1.0,t,4.91,3.1742847596468065,Both,2.5,f,7.0,t,11
167878,4936.0,3.0,f,0.0,5.286658858414812,Both,0.02,f,72.0,t,17
173114,2161.0,0.0,f,4.67,3.855206085764145,Both,2.37,f,7.0,t,11
176243,6783.0,0.0,t,4.62,3.855206085764145,Both,2.84,f,8.0,t,8
181641,1228.0,2.0,f,4.19,3.855206085764145,Both,1.31,f,51.0,t,1
181951,1179.0,2.0,f,4.02,3.855206085764145,Both,0.94,f,8.0,t,10
182072,1768.0,2.0,f,4.24,3.1742847596468065,Both,0.22,f,10.0,t,23
182772,3168.0,0.0,t,4.63,3.855206085764145,only profile,1.18,f,8.0,t,8
183338,1866.0,0.0,t,4.78,3.855206085764145,Both,1.9,f,7.0,t,4
186750,850.0,0.0,t,4.76,3.1742847596468065,Both,3.92,t,8.0,t,19
190423,22570.0,0.0,f,4.66,5.973202765973969,Both,0.21,f,52.0,t,0
191254,1916.0,0.0,f,4.72,3.855206085764145,Both,2.38,t,7.0,t,2
191474,3733.0,0.0,f,4.59,645.5231245673652,Both,0.25,t,8.0,t,18
191547,6999.0,0.0,f,4.65,645.5231245673652,Both,0.31,t,11.0,t,19
191554,2210.0,0.0,f,4.28,645.5231245673652,Both,0.36,t,8.0,t,8
199947,12869.0,0.0,f,4.62,3.855206085764145,Both,0.92,t,11.0,t,2
201908,418.0,0.0,f,4.55,5.973202765973969,Both,0.23,f,7.0,t,6
202545,23871.0,0.0,f,4.58,5.973202765973969,Both,0.3,t,8.0,t,0
207373,4399.0,0.0,f,4.64,3.855206085764145,Both,1.67,t,8.0,t,5
208007,9261.0,0.0,f,4.46,3.855206085764145,Both,0.97,t,8.0,t,19
209774,3956.0,0.0,f,4.18,1.6796561374309336,Both,0.44,t,12.0,t,11
215576,10978.0,0.0,f,4.47,5.973202765973969,Both,0.34,f,50.0,t,0
215583,23208.0,0.0,f,4.76,3.855206085764145,Both,0.27,f,51.0,t,0
215586,34825.0,0.0,f,4.61,5.973202765973969,Both,0.18,f,51.0,t,0
220569,1965.0,2.0,f,4.01,3.855206085764145,Both,0.54,f,8.0,t,17
224386,4399.0,0.0,f,4.28,3.855206085764145,Both,1.23,t,19.0,t,8
224457,2210.0,1.0,f,4.56,488.051470834979,Both,1.76,f,8.0,t,13
247267,2210.0,0.0,t,4.81,3.855206085764145,Both,3.15,f,8.0,t,3
254416,1474.0,2.0,f,3.97,3.855206085764145,Both,1.18,f,8.0,t,19
254484,2074.0,0.0,t,4.78,3.855206085764145,Both,1.8,t,8.0,t,15
278550,3956.0,0.0,f,4.31,3.855206085764145,Both,0.83,t,8.0,t,6
278580,1879.0,0.0,f,3.92,3.855206085764145,Both,0.38,t,20.0,t,6
279773,2186.0,0.0,t,4.67,3.855206085764145,Both,3.55,f,7.0,t,8
287716,5919.0,0.0,t,4.97,3.855206085764145,Both,0.23,t,9.0,t,0
287727,3340.0,0.0,t,4.92,3.855206085764145,Both,0.1,t,12.0,t,1
287734,7736.0,0.0,t,4.88,3.855206085764145,Both,0.24,t,9.0,t,5
300620,1981.0,3.0,f,4.8,414.2107175534726,Both,0.17,f,52.0,t,0
302265,2210.0,0.0,t,4.8,1.6796561374309336,Both,0.1,t,19.0,t,26
304027,810.0,2.0,f,4.57,1.6796561374309336,Both,1.82,f,8.0,t,22
318204,1916.0,0.0,f,4.58,1.6796561374309336,Both,1.63,t,7.0,t,13
320262,1719.0,0.0,f,4.5,1.6796561374309336,Both,1.95,t,7.0,t,16
324586,4175.0,0.0,t,4.89,37.55949796898047,Both,0.57,f,8.0,t,20
342582,1375.0,2.0,f,4.2,3.855206085764145,Both,2.67,t,8.0,t,3
342963,1200.0,0.0,t,4.83,414.17311228425086,Both,1.3,t,7.0,t,15
342968,1200.0,0.0,t,4.79,414.17311228425086,Both,0.95,t,8.0,t,4
