listing_id,adjusted_price,host_response_time,ranking,Distance,reviews_per_month,last_review,availability_30,host_is_superhost_f,host_is_superhost_t,Verification_only profile,Verification_only identity,Verification_Both,instant_bookable_f,instant_bookable_t,has_availability_f,has_availability_t
3884,1449.0,0.0,0.0,488.051470834979,0.01,141.0,0,True,False,True,False,False,True,False,True,False
23163,3340.0,0.0,4.92,3.855206085764145,0.18,9.0,7,False,True,False,False,True,False,True,False,True
23169,2579.0,0.0,4.72,3.855206085764145,0.68,9.0,1,False,True,False,False,True,False,True,False,True
26755,2701.0,0.0,4.94,3.855206085764145,3.2,7.0,3,False,True,False,False,True,True,False,False,True
30762,5919.0,0.0,4.73,3.855206085764145,0.1,9.0,1,False,True,False,False,True,False,True,False,True
42514,2677.0,2.0,4.76,523.4491616533368,2.09,12.0,27,False,True,False,False,True,True,False,False,True
52148,1056.0,0.0,4.57,1.6796561374309336,1.21,7.0,5,True,False,False,False,True,False,True,False,True
55844,3094.0,0.0,4.51,1.6796561374309336,2.62,7.0,4,True,False,False,False,True,False,True,False,True
55856,2652.0,0.0,4.56,1.6796561374309336,2.07,7.0,3,True,False,False,False,True,False,True,False,True
70003,1891.0,0.0,4.42,3.1742847596468065,1.38,7.0,2,True,False,False,False,True,False,True,False,True
75298,2210.0,0.0,4.74,3.855206085764145,0.42,8.0,16,False,True,False,False,True,True,False,False,True
79373,2579.0,0.0,4.68,3.855206085764145,0.32,11.0,0,False,True,False,False,True,False,True,False,True
79381,2579.0,0.0,4.93,3.855206085764145,0.1,12.0,10,False,True,False,False,True,False,True,False,True
79387,2579.0,0.0,4.81,3.855206085764145,0.18,9.0,0,False,True,False,False,True,False,True,False,True
83067,3168.0,0.0,4.55,3.855206085764145,1.33,7.0,6,False,True,True,False,False,True,False,False,True
83855,2431.0,0.0,4.56,3.855206085764145,1.63,8.0,5,False,True,True,False,False,True,False,False,True
83856,3168.0,0.0,4.63,3.855206085764145,2.4,8.0,4,False,True,True,False,False,True,False,False,True
85790,3735.0,0.0,4.59,3.855206085764145,0.8,8.0,2,True,False,False,False,True,False,True,False,True
85884,667.0,0.0,4.86,4.779680037529501,0.42,16.0,7,False,True,False,False,True,False,True,False,True
98852,2210.0,0.0,4.74,1514.4786053718487,3.87,7.0,4,False,True,False,False,True,False,True,False,True
106207,1203.0,0.0,4.59,3.1742847596468065,1.86,7.0,3,True,False,False,False,True,False,True,False,True
109549,3981.0,0.0,4.79,3.855206085764145,1.15,8.0,6,True,False,False,False,True,False,True,False,True
111141,2014.0,0.0,4.48,3.1742847596468065,1.53,8.0,7,True,False,False,False,True,False,True,False,True
112281,22643.0,0.0,4.59,3.855206085764145,1.72,7.0,1,True,False,False,False,True,False,True,False,True
117451,2100.0,0.0,4.7,5.973202765973969,2.14,7.0,12,False,True,False,False,True,False,True,False,True
146690,2112.0,1.0,4.91,3.1742847596468065,2.5,7.0,11,False,True,False,False,True,True,False,False,True
167878,4887.0,3.0,0.0,5.286658858414812,0.02,72.0,17,True,False,False,False,True,True,False,False,True
173114,2161.0,0.0,4.67,3.855206085764145,2.37,7.0,11,True,False,False,False,True,True,False,False,True
176243,6783.0,0.0,4.62,3.855206085764145,2.84,8.0,8,False,True,False,False,True,True,False,False,True
181641,1228.0,2.0,4.19,3.855206085764145,1.31,51.0,1,True,False,False,False,True,True,False,False,True
181951,1179.0,2.0,4.02,3.855206085764145,0.94,8.0,10,True,False,False,False,True,True,False,False,True
182072,1768.0,2.0,4.24,3.1742847596468065,0.22,10.0,23,True,False,False,False,True,True,False,False,True
182772,3168.0,0.0,4.63,3.855206085764145,1.18,8.0,8,False,True,True,False,False,True,False,False,True
183338,1523.0,0.0,4.78,3.855206085764145,1.9,7.0,4,False,True,False,False,True,True,False,False,True
186750,850.0,0.0,4.76,3.1742847596468065,3.92,8.0,19,False,True,False,False,True,False,True,False,True
190423,22570.0,0.0,4.66,5.973202765973969,0.21,52.0,0,True,False,False,False,True,True,False,False,True
191254,4863.0,0.0,4.72,3.855206085764145,2.38,7.0,2,True,False,False,False,True,False,True,False,True
