listing_id,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num
3884,Praha 1,Entire home/apt,3,1.5,2.0,0,338
23163,Praha 1,Entire home/apt,4,1.0,2.0,0,413
23169,Praha 1,Entire home/apt,3,1.0,2.0,0,375
26755,Praha 1,Entire home/apt,4,1.5,2.0,0,1204
30762,Praha 1,Entire home/apt,6,1.0,3.0,0,392
42514,Praha 1,Entire home/apt,3,1.0,2.0,0,547
52148,Praha 2,Entire home/apt,7,1.0,4.0,0,434
55844,Praha 2,Entire home/apt,3,1.0,2.0,0,341
55856,Praha 2,Entire home/apt,4,1.0,2.0,0,384
70003,Praha 3,Entire home/apt,3,1.0,2.0,0,339
75298,Praha 1,Entire home/apt,2,1.0,1.0,0,279
79373,Praha 1,Entire home/apt,4,1.0,2.0,0,368
79381,Praha 1,Entire home/apt,4,1.5,1.0,0,447
79387,Praha 1,Entire home/apt,4,1.0,2.0,0,393
83067,Praha 1,Entire home/apt,4,1.0,4.0,0,630
83855,Praha 1,Entire home/apt,5,1.0,3.0,0,653
83856,Praha 1,Entire home/apt,5,1.0,3.0,0,626
85790,Praha 1,Entire home/apt,12,1.5,12.0,0,292
85884,Praha 7,Private room,1,1.5,1.0,1,1104
98852,Praha 1,Entire home/apt,2,1.0,1.0,0,327
106207,Praha 3,Entire home/apt,4,1.0,2.0,0,457
109549,Praha 1,Entire home/apt,3,1.0,2.0,0,1023
111141,Praha 3,Entire home/apt,3,1.0,2.0,0,339
112281,Praha 1,Entire home/apt,8,0.0,2.0,0,465
117451,Praha 5,Entire home/apt,4,1.0,2.0,0,609
146690,Praha 3,Entire home/apt,7,1.0,6.0,0,500
167878,Praha 8,Entire home/apt,4,1.0,2.0,0,168
173114,Praha 1,Entire home/apt,4,1.0,1.0,0,682
176243,Praha 1,Entire home/apt,8,1.0,4.0,0,653
181641,Praha 1,Entire home/apt,2,1.0,1.0,0,278
181951,Praha 1,Entire home/apt,3,1.0,2.0,0,481
182072,Praha 3,Entire home/apt,5,1.0,3.0,0,294
182772,Praha 1,Entire home/apt,4,1.0,2.0,0,542
183338,Praha 1,Entire home/apt,3,1.0,3.0,0,1075
186750,Praha 3,Entire home/apt,4,1.0,2.0,0,600
190423,Praha 5,Entire home/apt,7,1.0,5.0,0,317
191254,Praha 1,Entire home/apt,6,1.0,4.0,0,559
191474,Praha 1,Entire home/apt,5,1.0,3.0,0,483
191547,Praha 1,Entire home/apt,8,2.0,2.0,0,534
191554,Praha 1,Entire home/apt,2,1.0,1.0,0,275
199947,Praha 1,Entire home/apt,10,2.0,7.0,0,393
201908,Praha 5,Entire home/apt,2,1.0,1.0,0,326
202545,Praha 5,Entire home/apt,11,2.5,8.0,0,369
